Book_ID,Issued,Title,Authors,Genres
7504,2005-02-01,Tom of the Raiders,"Bishop, Austin",US Civil War
7506,2005-02-01,"The Huge Hunter; Or, The Steam Man of the Prairies","Ellis, Edward Sylvester, 1840-1916",Children's Fiction
7508,2005-02-01,A Mummer's Wife,"Moore, George, 1852-1933",Banned Books from Anne Haight's list
7509,2004-08-28,The Logbooks of the Lady NelsonWith the journal of her first commander Lieutenant James Grant,"Lee, Ida, 1865-1943",Australia
7514,2005-02-01,A Guide to Stoicism,"Stock, St. George William Joseph, 1850-",Philosophy
7515,2005-02-01,The Glory of the Trenches,"Dawson, Coningsby, 1883-1959","World War I; Bestsellers, American, 1895-1923"
7523,2005-02-01,The Lady of the Decoration,"Little, Frances, 1863-1941","Bestsellers, American, 1895-1923"
7524,2005-02-01,The Germany and the Agricola of Tacitus,"Tacitus, Cornelius, 56-117",Classical Antiquity; Germany
7530,2005-02-01,The Renascence of Hebrew Literature (1743-1885),"Slouschz, Nahum, 1872-1966",Judaism
7547,2004-08-29,Quotes and Images from the Writings of Abraham Lincoln,"Lincoln, Abraham, 1809-1865; Widger, David, 1932- [Editor]",US Civil War
7624,2005-03-01,Devereux — Volume 01,"Lytton, Edward Bulwer Lytton, Baron, 1803-1873",Historical Fiction
7626,2005-03-01,Devereux — Volume 03,"Lytton, Edward Bulwer Lytton, Baron, 1803-1873",Historical Fiction
7627,2005-03-01,Devereux — Volume 04,"Lytton, Edward Bulwer Lytton, Baron, 1803-1873",Historical Fiction
7628,2005-03-01,Devereux — Volume 05,"Lytton, Edward Bulwer Lytton, Baron, 1803-1873",Historical Fiction
7629,2005-03-01,Devereux — Volume 06,"Lytton, Edward Bulwer Lytton, Baron, 1803-1873",Historical Fiction
7630,2004-11-23,Devereux — Complete,"Lytton, Edward Bulwer Lytton, Baron, 1803-1873",Historical Fiction
7635,2005-03-01,The Disowned — Volume 05,"Lytton, Edward Bulwer Lytton, Baron, 1803-1873",Historical Fiction
7672,2005-03-01,Harold : the Last of the Saxon Kings — Volume 01,"Lytton, Edward Bulwer Lytton, Baron, 1803-1873",Historical Fiction
7673,2005-03-01,Harold : the Last of the Saxon Kings — Volume 02,"Lytton, Edward Bulwer Lytton, Baron, 1803-1873",Historical Fiction
7674,2005-03-01,Harold : the Last of the Saxon Kings — Volume 03,"Lytton, Edward Bulwer Lytton, Baron, 1803-1873",Historical Fiction
7675,2005-03-01,Harold : the Last of the Saxon Kings — Volume 04,"Lytton, Edward Bulwer Lytton, Baron, 1803-1873",Historical Fiction
7676,2005-03-01,Harold : the Last of the Saxon Kings — Volume 05,"Lytton, Edward Bulwer Lytton, Baron, 1803-1873",Historical Fiction
7677,2005-03-01,Harold : the Last of the Saxon Kings — Volume 06,"Lytton, Edward Bulwer Lytton, Baron, 1803-1873",Historical Fiction
7678,2005-03-01,Harold : the Last of the Saxon Kings — Volume 07,"Lytton, Edward Bulwer Lytton, Baron, 1803-1873",Historical Fiction
7679,2005-03-01,Harold : the Last of the Saxon Kings — Volume 08,"Lytton, Edward Bulwer Lytton, Baron, 1803-1873",Historical Fiction
7680,2005-03-01,Harold : the Last of the Saxon Kings — Volume 09,"Lytton, Edward Bulwer Lytton, Baron, 1803-1873",Historical Fiction
7681,2005-03-01,Harold : the Last of the Saxon Kings — Volume 10,"Lytton, Edward Bulwer Lytton, Baron, 1803-1873",Historical Fiction
7682,2005-03-01,Harold : the Last of the Saxon Kings — Volume 11,"Lytton, Edward Bulwer Lytton, Baron, 1803-1873",Historical Fiction
7683,2005-03-01,Harold : the Last of the Saxon Kings — Volume 12,"Lytton, Edward Bulwer Lytton, Baron, 1803-1873",Historical Fiction
7684,2004-11-24,Harold : the Last of the Saxon Kings — Complete,"Lytton, Edward Bulwer Lytton, Baron, 1803-1873",Historical Fiction
7700,2005-03-01,Lysistrata,"Aristophanes, 446? BCE-385? BCE; Lindsay, Norman, 1879-1969 [Illustrator]; Lindsay, Jack, 1900-1990 [Translator]",Classical Antiquity; Banned Books from Anne Haight's list
7715,2005-03-01,The Last of the Barons — Volume 01,"Lytton, Edward Bulwer Lytton, Baron, 1803-1873",Historical Fiction
7716,2005-03-01,The Last of the Barons — Volume 02,"Lytton, Edward Bulwer Lytton, Baron, 1803-1873",Historical Fiction
